Dataset,DR Method,N Components,Architecture Group,T-Test Comparison,T-Test P-value,Trend (T-Test)
IndianPines,AE1,8,CNNs,li vs hamida,0.0003377329643183756,Shallow architecture (li) improves performance
IndianPines,AE1,15,CNNs,li vs hamida,0.020596665585047472,Shallow architecture (li) improves performance
IndianPines,AE1,30,CNNs,li vs hamida,0.09227102216792007,No significant difference based on T-test
IndianPines,AE2,8,CNNs,li vs hamida,0.0004054541821378131,Shallow architecture (li) improves performance
IndianPines,AE2,15,CNNs,li vs hamida,0.01509872506626578,Shallow architecture (li) improves performance
IndianPines,AE2,30,CNNs,li vs hamida,0.2763461255375833,No significant difference based on T-test
IndianPines,FastICA,8,CNNs,li vs hamida,0.05452024498608871,No significant difference based on T-test
IndianPines,FastICA,15,CNNs,li vs hamida,0.008143060677091214,Deeper architecture (hamida) improves performance
IndianPines,FastICA,30,CNNs,li vs hamida,6.488491185798087e-11,Deeper architecture (hamida) improves performance
IndianPines,FastICA-Split,8,CNNs,li vs hamida,0.49168401759223734,No significant difference based on T-test
IndianPines,FastICA-Split,15,CNNs,li vs hamida,0.1385079307952181,No significant difference based on T-test
IndianPines,FastICA-Split,30,CNNs,li vs hamida,0.0071297936429749464,Deeper architecture (hamida) improves performance
IndianPines,PCA,8,CNNs,li vs hamida,0.05584799286259194,No significant difference based on T-test
IndianPines,PCA,15,CNNs,li vs hamida,0.0008228267438138063,Deeper architecture (hamida) improves performance
IndianPines,PCA,30,CNNs,li vs hamida,7.155140800661929e-05,Deeper architecture (hamida) improves performance
IndianPines,PCA-Split,8,CNNs,li vs hamida,0.06858928212397397,No significant difference based on T-test
IndianPines,PCA-Split,15,CNNs,li vs hamida,0.0010513968220961492,Deeper architecture (hamida) improves performance
IndianPines,PCA-Split,30,CNNs,li vs hamida,0.005365304401167942,Deeper architecture (hamida) improves performance
IndianPines,UMAP,8,CNNs,li vs hamida,0.05777630758211451,No significant difference based on T-test
IndianPines,UMAP,15,CNNs,li vs hamida,0.18491345393921896,No significant difference based on T-test
IndianPines,UMAP,30,CNNs,li vs hamida,0.056619269213388494,No significant difference based on T-test
IndianPines,UMAP-Split,8,CNNs,li vs hamida,0.031208507231946177,Deeper architecture (hamida) improves performance
IndianPines,UMAP-Split,15,CNNs,li vs hamida,0.228956210687463,No significant difference based on T-test
IndianPines,UMAP-Split,30,CNNs,li vs hamida,0.137378630789005,No significant difference based on T-test
Salinas,AE1,8,CNNs,li vs hamida,0.01150130918731771,Shallow architecture (li) improves performance
Salinas,AE1,15,CNNs,li vs hamida,0.027351326753439306,Shallow architecture (li) improves performance
Salinas,AE1,30,CNNs,li vs hamida,0.1065948596005853,No significant difference based on T-test
Salinas,AE2,8,CNNs,li vs hamida,0.00042335511169625233,Shallow architecture (li) improves performance
Salinas,AE2,15,CNNs,li vs hamida,0.047261763940447524,Shallow architecture (li) improves performance
Salinas,AE2,30,CNNs,li vs hamida,0.31839574383492736,No significant difference based on T-test
Salinas,FastICA,8,CNNs,li vs hamida,0.061804804756348766,No significant difference based on T-test
Salinas,FastICA,15,CNNs,li vs hamida,6.40652603871537e-10,Deeper architecture (hamida) improves performance
Salinas,FastICA,30,CNNs,li vs hamida,0.06820465786092852,No significant difference based on T-test
Salinas,FastICA-Split,8,CNNs,li vs hamida,0.0018355234912452232,Shallow architecture (li) improves performance
Salinas,FastICA-Split,15,CNNs,li vs hamida,0.03222768902780383,Shallow architecture (li) improves performance
Salinas,FastICA-Split,30,CNNs,li vs hamida,0.13150000430748643,No significant difference based on T-test
