Experiment,Accuracy,Kappa,Dataset,DR Method,N Components,Model,Class,IoU Score
IndianPines_PCA_8_mou,92.78602108551348,0.9178804271775152,IndianPines,PCA,8.0,mou,Undefined,
IndianPines_PCA_8_hamida,97.12026552128076,0.9672566855231628,IndianPines,PCA,8.0,hamida,Undefined,
IndianPines_PCA_8_li,97.39359625146427,0.9703704852790824,IndianPines,PCA,8.0,li,Undefined,
IndianPines_PCA_8_paoletti,95.6169465052714,0.9502035792986734,IndianPines,PCA,8.0,paoletti,Undefined,
IndianPines_PCA_15_mou,80.53494728621632,0.7786321758651745,IndianPines,PCA,15.0,mou,Undefined,
IndianPines_PCA_15_hamida,96.90550566185084,0.9648032850504292,IndianPines,PCA,15.0,hamida,Undefined,
IndianPines_PCA_15_li,91.1265130808278,0.8991052163756731,IndianPines,PCA,15.0,li,Undefined,
IndianPines_PCA_15_paoletti,66.17532213978915,0.6115922014108471,IndianPines,PCA,15.0,paoletti,Undefined,
IndianPines_PCA_30_mou,64.789144865287,0.5953701722436795,IndianPines,PCA,30.0,mou,Undefined,
IndianPines_PCA_30_hamida,97.18859820382664,0.9680350378228194,IndianPines,PCA,30.0,hamida,Undefined,
IndianPines_PCA_30_li,75.40999609527529,0.7175853724210614,IndianPines,PCA,30.0,li,Undefined,
IndianPines_PCA_30_paoletti,64.50605232331121,0.5890760454670927,IndianPines,PCA,30.0,paoletti,Undefined,
IndianPines_FastICA_8_mou,88.80320187426787,0.8727241357481775,IndianPines,FastICA,8.0,mou,Undefined,
IndianPines_FastICA_8_hamida,96.8566966028895,0.9642573077941268,IndianPines,FastICA,8.0,hamida,Undefined,
IndianPines_FastICA_8_li,97.06169465052714,0.9665812126559132,IndianPines,FastICA,8.0,li,Undefined,
IndianPines_FastICA_8_paoletti,93.57672784068724,0.9269751546160928,IndianPines,FastICA,8.0,paoletti,Undefined,
IndianPines_FastICA_15_mou,92.98125732135884,0.9200472970671394,IndianPines,FastICA,15.0,mou,Undefined,
IndianPines_FastICA_15_hamida,97.30573994533384,0.9693676828872444,IndianPines,FastICA,15.0,hamida,Undefined,
IndianPines_FastICA_15_li,96.46622413119876,0.9598172300786724,IndianPines,FastICA,15.0,li,Undefined,
IndianPines_FastICA_15_paoletti,95.9586099180008,0.9540743435138432,IndianPines,FastICA,15.0,paoletti,Undefined,
IndianPines_FastICA_30_mou,90.60913705583756,0.8930187226202332,IndianPines,FastICA,30.0,mou,Undefined,
IndianPines_FastICA_30_hamida,97.42288168684108,0.9707001424118064,IndianPines,FastICA,30.0,hamida,Undefined,
IndianPines_FastICA_30_li,23.3502538071066,-0.0003932875899892,IndianPines,FastICA,30.0,li,Undefined,
IndianPines_FastICA_30_paoletti,93.98672393596252,0.9316816017997944,IndianPines,FastICA,30.0,paoletti,Undefined,
IndianPines_UMAP_8_mou,84.01991409605623,0.8181828334041815,IndianPines,UMAP,8.0,mou,Undefined,
IndianPines_UMAP_8_hamida,96.19289340101524,0.9567506584678585,IndianPines,UMAP,8.0,hamida,Undefined,
IndianPines_UMAP_8_li,97.13002733307302,0.9673679821115794,IndianPines,UMAP,8.0,li,Undefined,
IndianPines_UMAP_8_paoletti,91.6536509176103,0.9050981710403004,IndianPines,UMAP,8.0,paoletti,Undefined,
IndianPines_UMAP_15_mou,93.0886372510738,0.9213511367280196,IndianPines,UMAP,15.0,mou,Undefined,
IndianPines_UMAP_15_hamida,97.24716907458024,0.9687052416755068,IndianPines,UMAP,15.0,hamida,Undefined,
IndianPines_UMAP_15_li,97.30573994533384,0.9693673593008522,IndianPines,UMAP,15.0,li,Undefined,
IndianPines_UMAP_15_paoletti,92.62983209683718,0.9159546560122138,IndianPines,UMAP,15.0,paoletti,Undefined,
IndianPines_UMAP_30_mou,94.34791097227644,0.9357076537696,IndianPines,UMAP,30.0,mou,Undefined,
IndianPines_UMAP_30_hamida,97.34478719250292,0.969812478562215,IndianPines,UMAP,30.0,hamida,Undefined,
IndianPines_UMAP_30_li,97.39359625146427,0.9703685551438436,IndianPines,UMAP,30.0,li,Undefined,
IndianPines_UMAP_30_paoletti,93.0007809449434,0.9204102797315112,IndianPines,UMAP,30.0,paoletti,Undefined,
IndianPines_DiffMaps_8_mou,75.44904334244436,0.7175534318527652,IndianPines,DiffMaps,8.0,mou,Undefined,
IndianPines_DiffMaps_8_hamida,85.75470777636842,0.8375970183875586,IndianPines,DiffMaps,8.0,hamida,Undefined,
IndianPines_DiffMaps_8_li,89.05259049663381,0.8750600233248391,IndianPines,DiffMaps,8.0,li,Undefined,
