Experiment,Accuracy,Dataset,DR Method,N Components,Model
IndianPines_PCA_8_mou,92.78602108551348,IndianPines,PCA,8,mou
IndianPines_PCA_8_hamida,97.12026552128076,IndianPines,PCA,8,hamida
IndianPines_PCA_8_li,97.39359625146427,IndianPines,PCA,8,li
IndianPines_PCA_8_paoletti,94.0550566185084,IndianPines,PCA,8,paoletti
IndianPines_FastICA_8_mou,88.80320187426787,IndianPines,FastICA,8,mou
IndianPines_FastICA_8_hamida,96.8566966028895,IndianPines,FastICA,8,hamida
IndianPines_FastICA_8_li,97.06169465052714,IndianPines,FastICA,8,li
IndianPines_FastICA_8_paoletti,93.57672784068724,IndianPines,FastICA,8,paoletti
IndianPines_UMAP_8_mou,84.01991409605623,IndianPines,UMAP,8,mou
IndianPines_UMAP_8_hamida,96.19289340101524,IndianPines,UMAP,8,hamida
IndianPines_UMAP_8_li,97.13002733307302,IndianPines,UMAP,8,li
IndianPines_UMAP_8_paoletti,91.6536509176103,IndianPines,UMAP,8,paoletti
IndianPines_DiffMaps_8_mou,75.44904334244436,IndianPines,DiffMaps,8,mou
IndianPines_DiffMaps_8_hamida,85.75470777636842,IndianPines,DiffMaps,8,hamida
IndianPines_DiffMaps_8_li,89.05259049663381,IndianPines,DiffMaps,8,li
IndianPines_DiffMaps_8_paoletti,76.25134159430188,IndianPines,DiffMaps,8,paoletti
IndianPines_SOM_8_mou,78.11493804273587,IndianPines,SOM,8,mou
IndianPines_SOM_8_hamida,91.11132793443262,IndianPines,SOM,8,hamida
IndianPines_SOM_8_li,83.73499853644257,IndianPines,SOM,8,li
IndianPines_SOM_8_paoletti,84.35944970240999,IndianPines,SOM,8,paoletti
IndianPines_Corr_8_mou,76.02499023818821,IndianPines,Corr,8,mou
IndianPines_Corr_8_hamida,81.54041390082,IndianPines,Corr,8,hamida
IndianPines_Corr_8_li,74.41429129246389,IndianPines,Corr,8,li
IndianPines_Corr_8_paoletti,79.12924638812964,IndianPines,Corr,8,paoletti
IndianPines_Var_8_mou,76.14213197969544,IndianPines,Var,8,mou
IndianPines_Var_8_hamida,80.0761421319797,IndianPines,Var,8,hamida
IndianPines_Var_8_li,87.9832096837173,IndianPines,Var,8,li
IndianPines_Var_8_paoletti,80.72042171026943,IndianPines,Var,8,paoletti
IndianPines_AE1_8_mou,84.7130027333073,IndianPines,AE1,8,mou
IndianPines_AE1_8_hamida,86.63607965638423,IndianPines,AE1,8,hamida
IndianPines_AE1_8_li,93.73291682936352,IndianPines,AE1,8,li
IndianPines_AE1_8_paoletti,82.35064427957829,IndianPines,AE1,8,paoletti
IndianPines_AE2_8_hamida,93.75244045294806,IndianPines,AE2,8,hamida
IndianPines_AE2_8_li,95.5778992581023,IndianPines,AE2,8,li
IndianPines_AE2_8_paoletti,83.25849277625927,IndianPines,AE2,8,paoletti
