Dataset,DR Method,Model,T-Test Comparison,T-Test P-value,Trend (T-Test),F-statistic (ANOVA),P-value (ANOVA),ANOVA Result,Trend (ANOVA)
IndianPines,AE1,hamida,8 vs 15,8.985492342725599e-05,More components (15) improve performance,,,,
IndianPines,AE1,hamida,8 vs 30,0.00016073514534459897,More components (30) improve performance,,,,
IndianPines,AE1,hamida,15 vs 30,0.20135192157877368,No significant difference based on T-test,,,,
IndianPines,AE1,hamida,,,,2.1369634645813873,0.12910607022884596,Fail to reject null hypothesis: More components do not significantly improve performance.,No significant difference
IndianPines,AE1,li,8 vs 15,0.011904734980813165,More components (15) improve performance,,,,
IndianPines,AE1,li,8 vs 30,0.008801152679189128,Fewer components (8) improve performance,,,,
IndianPines,AE1,li,15 vs 30,0.0002834239470076651,Fewer components (15) improve performance,,,,
IndianPines,AE1,li,,,,0.20416855692011773,0.8160293001867813,Fail to reject null hypothesis: More components do not significantly improve performance.,No significant difference
IndianPines,AE1,mou,8 vs 15,0.32943553261908676,No significant difference based on T-test,,,,
IndianPines,AE1,mou,8 vs 30,0.3651811537566638,No significant difference based on T-test,,,,
IndianPines,AE1,mou,15 vs 30,0.7955931539427329,No significant difference based on T-test,,,,
IndianPines,AE1,mou,,,,0.09573657085306339,0.9088764347563707,Fail to reject null hypothesis: More components do not significantly improve performance.,No significant difference
IndianPines,AE1,paoletti,8 vs 15,3.693487979738029e-05,More components (15) improve performance,,,,
IndianPines,AE1,paoletti,8 vs 30,0.12444539881605053,No significant difference based on T-test,,,,
IndianPines,AE1,paoletti,15 vs 30,0.032068065285838186,Fewer components (15) improve performance,,,,
IndianPines,AE1,paoletti,,,,0.614138865521316,0.545303502080349,Fail to reject null hypothesis: More components do not significantly improve performance.,No significant difference
IndianPines,AE2,hamida,8 vs 15,0.10194681995660504,No significant difference based on T-test,,,,
IndianPines,AE2,hamida,8 vs 30,0.0007459956101697333,More components (30) improve performance,,,,
IndianPines,AE2,hamida,15 vs 30,0.0064161778662027436,More components (30) improve performance,,,,
IndianPines,AE2,hamida,,,,0.47707272895421277,0.6235084197563807,Fail to reject null hypothesis: More components do not significantly improve performance.,No significant difference
IndianPines,AE2,li,8 vs 15,0.405052464667641,No significant difference based on T-test,,,,
IndianPines,AE2,li,8 vs 30,0.003177988154178193,More components (30) improve performance,,,,
IndianPines,AE2,li,15 vs 30,0.04532510849757467,More components (30) improve performance,,,,
IndianPines,AE2,li,,,,0.022035006767904243,0.9782158796115578,Fail to reject null hypothesis: More components do not significantly improve performance.,No significant difference
IndianPines,AE2,mou,8 vs 15,8.837186549189438e-05,More components (15) improve performance,,,,
IndianPines,AE2,mou,8 vs 30,0.001093200513421649,More components (30) improve performance,,,,
IndianPines,AE2,mou,15 vs 30,0.7825132597551023,No significant difference based on T-test,,,,
IndianPines,AE2,mou,,,,5.1300482399540295,0.009569316286523383,Reject null hypothesis: More components significantly affect performance!,Significant difference detected
IndianPines,AE2,paoletti,8 vs 15,0.000564578184659933,More components (15) improve performance,,,,
IndianPines,AE2,paoletti,8 vs 30,0.00023675166659800466,More components (30) improve performance,,,,
IndianPines,AE2,paoletti,15 vs 30,0.11669918828892566,No significant difference based on T-test,,,,
IndianPines,AE2,paoletti,,,,2.105250185808197,0.13292331618219513,Fail to reject null hypothesis: More components do not significantly improve performance.,No significant difference
IndianPines,FastICA,hamida,8 vs 15,0.004131330605860212,More components (15) improve performance,,,,
IndianPines,FastICA,hamida,8 vs 30,0.00869915359632451,More components (30) improve performance,,,,
IndianPines,FastICA,hamida,15 vs 30,0.5847982777911593,No significant difference based on T-test,,,,
IndianPines,FastICA,hamida,,,,0.005605975624051558,0.9944103595023857,Fail to reject null hypothesis: More components do not significantly improve performance.,No significant difference
IndianPines,FastICA,li,8 vs 15,0.022760367693759595,Fewer components (8) improve performance,,,,
IndianPines,FastICA,li,8 vs 30,6.609611311226269e-11,Fewer components (8) improve performance,,,,
IndianPines,FastICA,li,15 vs 30,7.335440076526608e-11,Fewer components (15) improve performance,,,,
IndianPines,FastICA,li,,,,114.59724446430265,5.283959737235504e-19,Reject null hypothesis: More components significantly affect performance!,Significant difference detected
IndianPines,FastICA,mou,8 vs 15,0.0024318001348635587,More components (15) improve performance,,,,
IndianPines,FastICA,mou,8 vs 30,0.6334838905701186,No significant difference based on T-test,,,,
IndianPines,FastICA,mou,15 vs 30,0.0013884449781051342,Fewer components (15) improve performance,,,,
IndianPines,FastICA,mou,,,,0.47735226839946654,0.6233375460701163,Fail to reject null hypothesis: More components do not significantly improve performance.,No significant difference
IndianPines,FastICA,paoletti,8 vs 15,0.0007777376276333788,More components (15) improve performance,,,,
IndianPines,FastICA,paoletti,8 vs 30,0.27443216000228665,No significant difference based on T-test,,,,
IndianPines,FastICA,paoletti,15 vs 30,0.01228510380000522,Fewer components (15) improve performance,,,,
IndianPines,FastICA,paoletti,,,,0.32347242211031413,0.7251970051965214,Fail to reject null hypothesis: More components do not significantly improve performance.,No significant difference
IndianPines,FastICA-Split,hamida,8 vs 15,0.1062953138537655,No significant difference based on T-test,,,,
IndianPines,FastICA-Split,hamida,8 vs 30,0.0015397134027591432,More components (30) improve performance,,,,
IndianPines,FastICA-Split,hamida,15 vs 30,0.005405037153494033,More components (30) improve performance,,,,
IndianPines,FastICA-Split,hamida,,,,0.04411259390106789,0.956884960241592,Fail to reject null hypothesis: More components do not significantly improve performance.,No significant difference
IndianPines,FastICA-Split,li,8 vs 15,0.6118210230630143,No significant difference based on T-test,,,,
IndianPines,FastICA-Split,li,8 vs 30,0.030951575731160655,More components (30) improve performance,,,,
IndianPines,FastICA-Split,li,15 vs 30,0.03524430524540291,More components (30) improve performance,,,,
IndianPines,FastICA-Split,li,,,,0.03174021168575865,0.9687785364020061,Fail to reject null hypothesis: More components do not significantly improve performance.,No significant difference
IndianPines,FastICA-Split,mou,8 vs 15,0.0010917867983570883,More components (15) improve performance,,,,
IndianPines,FastICA-Split,mou,8 vs 30,0.0007830658303854386,More components (30) improve performance,,,,
IndianPines,FastICA-Split,mou,15 vs 30,0.03497795111132154,More components (30) improve performance,,,,
IndianPines,FastICA-Split,mou,,,,0.7517852961462121,0.47699420270318327,Fail to reject null hypothesis: More components do not significantly improve performance.,No significant difference
IndianPines,FastICA-Split,paoletti,8 vs 15,0.06068384962186305,No significant difference based on T-test,,,,
IndianPines,FastICA-Split,paoletti,8 vs 30,0.09310997374125744,No significant difference based on T-test,,,,
IndianPines,FastICA-Split,paoletti,15 vs 30,0.9665221407957401,No significant difference based on T-test,,,,
IndianPines,FastICA-Split,paoletti,,,,0.08989603375522888,0.9141797236746676,Fail to reject null hypothesis: More components do not significantly improve performance.,No significant difference
IndianPines,PCA,hamida,8 vs 15,0.5864338680253318,No significant difference based on T-test,,,,
IndianPines,PCA,hamida,8 vs 30,0.7594308414472648,No significant difference based on T-test,,,,
IndianPines,PCA,hamida,15 vs 30,0.22679491425146847,No significant difference based on T-test,,,,
IndianPines,PCA,hamida,,,,0.00028471305899785117,0.9997153291562049,Fail to reject null hypothesis: More components do not significantly improve performance.,No significant difference
IndianPines,PCA,li,8 vs 15,0.0008131181168982682,Fewer components (8) improve performance,,,,
