Dataset,Model,N Components,DR Method Group,T-Test Comparison,T-Test P-value,Trend (T-Test)
IndianPines,hamida,8,PCA,PCA vs PCA-Split,0.002151141725536229,Original method (PCA) improves performance
IndianPines,li,8,PCA,PCA vs PCA-Split,0.014390504060162207,Original method (PCA) improves performance
IndianPines,mou,8,PCA,PCA vs PCA-Split,0.17087755832506887,No significant difference based on T-test
IndianPines,paoletti,8,PCA,PCA vs PCA-Split,0.8810500357088408,No significant difference based on T-test
IndianPines,hamida,15,PCA,PCA vs PCA-Split,0.011210843830487639,Split method (PCA-Split) improves performance
IndianPines,li,15,PCA,PCA vs PCA-Split,0.019582647572361094,Split method (PCA-Split) improves performance
IndianPines,mou,15,PCA,PCA vs PCA-Split,0.7578218139564012,No significant difference based on T-test
IndianPines,paoletti,15,PCA,PCA vs PCA-Split,0.051272236284718276,No significant difference based on T-test
IndianPines,hamida,30,PCA,PCA vs PCA-Split,0.009830062076842491,Split method (PCA-Split) improves performance
IndianPines,li,30,PCA,PCA vs PCA-Split,5.5818658620257785e-05,Split method (PCA-Split) improves performance
IndianPines,mou,30,PCA,PCA vs PCA-Split,0.37954799997595645,No significant difference based on T-test
IndianPines,paoletti,30,PCA,PCA vs PCA-Split,0.0008838931971553161,Split method (PCA-Split) improves performance
Salinas,hamida,8,PCA,PCA vs PCA-Split,0.00321306906945508,Original method (PCA) improves performance
Salinas,li,8,PCA,PCA vs PCA-Split,0.028355038570021404,Original method (PCA) improves performance
Salinas,mou,8,PCA,PCA vs PCA-Split,0.0030598800358142375,Original method (PCA) improves performance
Salinas,paoletti,8,PCA,PCA vs PCA-Split,0.7354041258368629,No significant difference based on T-test
Salinas,hamida,15,PCA,PCA vs PCA-Split,0.01152441843861575,Original method (PCA) improves performance
Salinas,li,15,PCA,PCA vs PCA-Split,0.5251426485213311,No significant difference based on T-test
Salinas,mou,15,PCA,PCA vs PCA-Split,0.0007612667623233504,Split method (PCA-Split) improves performance
Salinas,paoletti,15,PCA,PCA vs PCA-Split,0.001007746591705311,Split method (PCA-Split) improves performance
Salinas,hamida,30,PCA,PCA vs PCA-Split,0.0111230233215608,Original method (PCA) improves performance
